Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
5987;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001863;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=5987&portlet_id=158;2018;Ouvrir l’église Saint-Eustache sur le jardin des Halles;Culture et patrimoine;Direction des Affaires Culturelles;300000;Budget participatif d’arrondissement;église Saint-Eustache;75001;Non;FIN;2019-02;2019-03;2019-03;2019-11;2019-11;
6092;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001980;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6092&portlet_id=158;2018;Amélioration de la cour du Collège Charlemagne;Education et jeunesse;Direction des Affaires Scolaires;350000;Budget participatif d’arrondissement;13 rue Charlemagne;75004;Non;PROCEDURES;2019-03;2021-12;;;;
6418;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002058;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6418&portlet_id=158;2018;Oasis sportive : réaménagement des terrains de Stalingrad;Sport;Direction de la Jeunesse et des Sports;500000;Budget participatif d’arrondissement;234, boulevard de la Villette;75019;Oui;FIN;2018-01;2019-01;2019-06;2019-09;2019-09;
2428;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003587;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2428&portlet_id=158;2016;Du compost pour nos quartiers;Propreté;Direction de la Propreté et de l’Eau;100000;Budget participatif d’arrondissement;130 Avenue Daumesnil;75012;Non;TRAVAUX;2016-09;;2022-07;;;
2809;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003652;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2809&portlet_id=158;2016;Végétaliser les trottoirs du 15e;Cadre de vie;Direction des Espaces Verts et de l’Environnement;553000;Budget participatif d’arrondissement;31 Rue Peclet;75015;Non;FIN;2017-02;2017-07;2018-12;2019-03;2020-03;
6319;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002075;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6319&portlet_id=158;2018;Rénover les toilettes : propreté et confort;Education et jeunesse;Direction des Affaires Scolaires;240000;Budget participatif d’arrondissement;2 place des 44 enfants d'Izieu;75013;Oui;FIN;2019-01;2019-04;2019-04;2019-05;2020-12;
3452;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000090;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3452&portlet_id=158;2017;Création d'un jardin public dans l'impasse de la Chapelle;Environnement;Direction des Espaces Verts et de l’Environnement;185000;Budget participatif d’arrondissement;impasse de la Chapelle;75018;Oui;FIN;2017-11;2018-06;2019-02;2019-06;2019-07;
3709;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002773;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3709&portlet_id=158;2017;Pour des piétons en toute sécurité !;Prévention et sécurité;Direction de la Voirie et des Déplacements;57500;Budget participatif d’arrondissement;mairie du 13e Arrondissement;75013;Non;FIN;2018-03;2018-05;2018-11;2019-05;2019-05;
3462;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000336;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3462&portlet_id=158;2017;Végétaliser un mur et créer un jardin de couleurs et saveurs du collège Pierre-Alviset;Education et jeunesse;Direction des Affaires Scolaires;1000;Budget participatif d’arrondissement;Collège Alviset;75005;Non;FIN;2018-01;2018-02;2018-05;2018-07;2018-11;
3551;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001374;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3551&portlet_id=158;2017;Zéro deux roues motorisés sur les trottoirs;Cadre de vie;Direction de la Voirie et des Déplacements;40000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;FIN;2019-10;;2020-05;2021-03;2021-03;
3461;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000291;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3461&portlet_id=158;2017;Une coulée verte entre les rues René Binet et Francis de Croisset;Cadre de vie;Direction des Espaces Verts et de l’Environnement;500000;Budget participatif d’arrondissement;rue René Binet;75018;Oui;FIN;2017-11;2018-07;2019-04;2019-12;2019-12;
3544;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001258;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3544&portlet_id=158;2017;Montmartre accessible à tous - Phase 2;Mobilités;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;2 rue Saint-Eleuthère;75018;Non;FIN;2018-02;2018-09;2019-11;2021-10;2021-11;
3513;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000911;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3513&portlet_id=158;2017;Un terrain de foot à 5 au Centre Sportif Courcelles;Sport;Direction de la Jeunesse et des Sports;350000;Budget participatif d’arrondissement;CENTRE SPORTIF COURCELLES;75017;Non;FIN;2017-12;2018-07;2019-07;2019-09;2019-10;
3660;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002693;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3660&portlet_id=158;2017;Pour un espace public apaisé et partagé entre Gambetta et Père Lachaise;Cadre de vie;Direction de la Voirie et des Déplacements;810000;Budget participatif d’arrondissement;66 rue Stendhal;75020;Non;FIN;2017-09;;2019-04;2019-08;2019-08;
8488;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001988;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8488&portlet_id=158;2019;L’escalade à l’école;Sport;Direction des Affaires Scolaires;70000;Budget participatif d’arrondissement;2 place des Quarante-Quatre Enfants d'Izieu;75013;Oui;FIN;2020-09;;;2021-04;2021-04;
8513;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001898;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8513&portlet_id=158;2019;ACTU X.0;Solidarités;Direction de la Démocratie, des Citoyens et des Territoires;650000;Budget participatif d’arrondissement;avenue joseph bédier;75013;Oui;ETUDES;2020-01;;;;;
8585;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000768;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8585&portlet_id=158;2019;Des places de stationnement pour les deux roues;Mobilités;Direction de la Voirie et des Déplacements;135000;Budget participatif d’arrondissement;Avenue de la Porte de Clichy;75017;Non;FIN;2019-11;2020-04;2020-09;2021-04;2021-04;
8771;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000241;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8771&portlet_id=158;2019;Donner de la couleur à l'escalier de la rue Levert;Culture et patrimoine;Direction des Affaires Culturelles;40000;Budget participatif d’arrondissement;1 rue Levert;75020;Oui;TRAVAUX;2020-01;2021-09;2022-03;2024-11;;
6327;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002152;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6327&portlet_id=158;2018;Art dans la ville;Culture et patrimoine;Direction des Affaires Culturelles;215000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;FIN;2019-03;2019-04;2019-06;2019-12;2021-07;
9866;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002338;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9866&portlet_id=158;2021;Des cours « Oasis » pour le groupe scolaire Littré;Education et jeunesse;Direction des Affaires Scolaires;950000;Budget participatif d’arrondissement;rue Littré;75006;Non;PROCEDURES;2022-08;2023-08;2024-08;2024-12;;
9921;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002532;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9921&portlet_id=158;2021;Végétaliser les murs du 10e;Environnement;Direction des Espaces Verts et de l’Environnement;100000;Budget participatif d’arrondissement;72 rue du Faubourg St-Martin;75010;Non;LIVRAISON;2021-10;2022-07;2023-02;2023-03;;
10030;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002664;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10030&portlet_id=158;2021;Végétalisation et aménagement de l'espace public;Environnement;Direction des Espaces Verts et de l’Environnement;80000;Budget participatif d’arrondissement;mairie du 18e Arrondissement;75018;Non;LIVRAISON;2021-10;2022-07;2023-02;2023-02;;
9993;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002625;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9993&portlet_id=158;2021;Mieux grandir dans le 19e;Education et jeunesse;Direction des Affaires Scolaires;1470000;Budget participatif d’arrondissement;7 place Armand Carrel;75019;Non;LIVRAISON;2019-12;2022-09;2022-06;2022-07;;
10009;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002642;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10009&portlet_id=158;2021;Amener la nature dans le 12e arrondissement;Environnement;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif d’arrondissement;130 avenue Daumesnil;75012;Non;LIVRAISON;2021-10;;;2023-09;;
6168;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002104;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6168&portlet_id=158;2018;De l'art urbain dans le 17e;Culture et patrimoine;Direction des Affaires Culturelles;275000;Budget participatif d’arrondissement;41 avenue de Clichy;75017;Non;LIVRAISON;2019-11;2020-06;2022-07;2022-07;;
6293;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002145;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6293&portlet_id=158;2018;Des couleurs éclatantes à la Goutte d'Or et à la Chapelle;Cadre de vie;Direction des Affaires Culturelles;100000;Budget participatif d’arrondissement;19 rue de la Goutte d'or;75018;Oui;LIVRAISON;2019-05;2019-09;2020-09;2020-09;;
10534;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001655;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10534&portlet_id=158;2022;Des cours d’écoles rénovées pour le bien-être des écoliers;Education et jeunesse;Direction des Affaires Scolaires;1750000;Budget participatif d’arrondissement;mairie du 15 ème arrondissement;75015;Non;PROCEDURES;2023-12;2024-04;2024-08;2024-12;;
10577;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001698;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10577&portlet_id=158;2022;Végétaliser et améliorer les lieux publics dans les quartiers;Cadre de vie;Direction des Espaces Verts et de l’Environnement;590000;Budget participatif d’arrondissement;;75018;Oui;TRAVAUX;2022-10;;2024-02;2024-07;;
8504;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001716;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8504&portlet_id=158;2019;Des cantines plus agréables pour nos enfants dans 11 écoles;Education et jeunesse;Direction des Affaires Scolaires;1170000;Budget participatif d’arrondissement;3 rue Levassor;75013;Non;FIN;2020-01;2021-02;2020-07;2020-12;2023-10;
11204;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=000434;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11204&portlet_id=158;2023;;Education et jeunesse;Direction des Espaces Verts et de l’Environnement;600000;Budget participatif d’arrondissement;72 Rue du Faubourg Saint-Martin;75010;Non;(non démarré);;;;;;
11061;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001403;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11061&portlet_id=158;2023;Des toilettes rénovées pour les élèves du collège Victor Hugo;Education et jeunesse;Direction des Affaires Scolaires;300000;Budget participatif d’arrondissement;102 rue Vieille du Temple;75003;Non;PROCEDURES;2023-10;2024-02;;;;
11073;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001672;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11073&portlet_id=158;2023;Art et Food: repas, culture et droit au sein de lieux emblématiques;Solidarités;;50000;Budget participatif d’arrondissement;2 rue Eugène Spuller;75003;Non;(non démarré);;;;;;
11254;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001873;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11254&portlet_id=158;2023;Permettre l'apprentissage du vélo et du code de la route : rénovation du TEP Jenner;Sport;Direction de la Jeunesse et des Sports;600000;Budget participatif d’arrondissement;43 rue Jenner;75013;Non;(non démarré);;;;;;
11215;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001869;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11215&portlet_id=158;2023;Des cours d'école plus ludiques et vertes;Education et jeunesse;Direction des Affaires Scolaires;600000;Budget participatif d’arrondissement;7 place Armand Carrel;75019;Non;ETUDES;2023-10;2025-01;2025-08;2025-12;;
11125;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001784;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11125&portlet_id=158;2023;Réduire la vitesse des véhicules et sécuriser les passages piétons;Prévention et sécurité;Direction de la Voirie et des Déplacements;210000;Budget participatif d’arrondissement;;75008;Non;(non démarré);;;;;;
11134;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001855;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11134&portlet_id=158;2023;Une alimentation solidaire dans le 18e;Solidarités;Direction de l’Attractivité et de l’Emploi;135000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;ETUDES;2023-10;;;;;
11090;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001052;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11090&portlet_id=158;2023;Des îlots de fraicheur pour les cours d'écoles et de collèges;Education et jeunesse;Direction des Affaires Scolaires;2000000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;PROCEDURES;2024-01;2024-03;2024-08;2024-12;;
2651;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003609;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2651&portlet_id=158;2016;Développer les jardins partagés dans le 14e;Environnement;Direction des Espaces Verts et de l’Environnement;122000;Budget participatif d’arrondissement;2 Place Ferdinand Brunot;75014;Non;FIN;2017-04;2017-11;2019-05;2020-11;2021-09;
3411;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001728;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3411&portlet_id=158;2017;Restaurer la nature dans l'îlot sportif Neuve Saint-Pierre;Environnement;Direction des Affaires Scolaires;90000;Budget participatif d’arrondissement;5 Rue Neuve Saint-Pierre;75004;Non;FIN;2018-03;2018-04;2018-06;2018-12;2019-03;
3681;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002736;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3681&portlet_id=158;2017;Réaménager les équipements sportifs extérieurs de la Grange-aux-Belles;Sport;Direction de la Jeunesse et des Sports;410000;Budget participatif d’arrondissement;quai de Jemmapes;75010;Oui;FIN;2017-11;2018-01;2019-06;2019-10;2019-11;
3680;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002731;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3680&portlet_id=158;2017;Passage piéton sécurisé au croisement Championnet/Marcadet;Prévention et sécurité;Direction de la Voirie et des Déplacements;30000;Budget participatif d’arrondissement;rue Marcadet;75018;Non;FIN;2018-01;2019-01;2019-03;2019-08;2019-08;
3523;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001052;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3523&portlet_id=158;2017;Réfection des trottoirs du 6e arrondissement;Prévention et sécurité;Direction de la Voirie et des Déplacements;100000;Budget participatif d’arrondissement;78 Rue Bonaparte;75006;Non;FIN;2018-06;2018-06;2018-06;2019-05;2019-05;
3421;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002360;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3421&portlet_id=158;2017;Du matériel numérique et pédagogique pour l’école Maternelle Saint-Dominique;Education et jeunesse;Direction des Affaires Scolaires;10000;Budget participatif d’arrondissement;117b Rue Saint-Dominique;75007;Non;FIN;2018-02;2018-04;2018-05;2020-12;2020-12;
3352;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002036;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3352&portlet_id=158;2017;Des locaux associatifs ouverts dans un pavillon abandonné;Solidarités;Direction du Logement et de l’Habitat;130000;Budget participatif d’arrondissement;9 Rue de Plaisance;75014;Non;ETUDES;2018-05;;;2024-11;;
3754;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002149;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3754&portlet_id=158;2017;Des stationnements vélos quai de la Loire;Mobilités;Direction de la Voirie et des Déplacements;15000;Budget participatif d’arrondissement;Quai de la Loire;75019;Non;FIN;2018-02;;2018-05;2019-08;2019-08;
3607;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001980;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3607&portlet_id=158;2017;Création de stationnement deux-roues (vélos et motorisés);Cadre de vie;Direction de la Voirie et des Déplacements;35000;Budget participatif d’arrondissement;67 Rue Jean-Pierre Timbaud;75011;Oui;FIN;2018-07;2018-11;2020-06;2020-09;2020-09;
3529;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001097;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3529&portlet_id=158;2017;Embellissement du jardin ludique de la Cabane Davout (37 boulevard Davout);Cadre de vie;Direction de la Démocratie, des Citoyens et des Territoires;80000;Budget participatif d’arrondissement;37 Boulevard Davout;75020;Oui;PROCEDURES;2019-06;2019-04;;;;
3469;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000405;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3469&portlet_id=158;2017;Végétalisons le quartier Belleville Saint-Maur !;Cadre de vie;Direction des Espaces Verts et de l’Environnement;100000;Budget participatif d’arrondissement;12 Place Léon Blum;75011;Oui;LIVRAISON;2017-11;;;2023-12;;
1647;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1647&portlet_id=158;2015;Développer le réseau cyclable dans le 19e;Mobilités;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;7 Place Armand Carrel;75019;Oui;FIN;2016-08;2016-09;2018-04;2018-06;2020-02;
2880;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003675;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2880&portlet_id=158;2016;Aménager des places et placettes dans l’arrondissement;Cadre de vie;Direction de la Voirie et des Déplacements;650000;Budget participatif d’arrondissement;5-7 Place Armand Carrel;75019;Non;LIVRAISON;2018-01;2018-06;2019-02;2019-08;;
2205;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2205&portlet_id=158;2014;Des kiosques pour faire la fête;Cadre de vie;Direction des Espaces Verts et de l’Environnement;3700000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-03;2015-03;2015-04;2020-09;
1448;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1448&portlet_id=158;2015;Création d'un jardin partagé dans le quartier des Hauts de Malesherbes;Cadre de vie;Direction des Espaces Verts et de l’Environnement;80000;Budget participatif d’arrondissement;20 Rue des Batignolles;75017;Non;FIN;2016-01;2017-05;2017-11;2019-06;2019-06;
1480;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1480&portlet_id=158;2015;Végétalisation du toit du stade Porte d'Asnières;Environnement;Direction des Espaces Verts et de l’Environnement;164000;Budget participatif d’arrondissement;STADE DE LA PORTE D'ASNIERES;75017;Non;FIN;2016-02;2016-11;2017-01;2017-09;2017-09;
1524;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1524&portlet_id=158;2015;Créer une zone de rencontre boulevard de Port-Royal;Cadre de vie;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;39 Boulevard de Port-Royal;75013;Non;FIN;2016-03;2016-11;2019-12;2020-02;2020-02;
1758;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1758&portlet_id=158;2015;Un mur végétalisé et des jardinières rue du Commerce;Environnement;Direction des Espaces Verts et de l’Environnement;25000;Budget participatif d’arrondissement;76 Rue du Commerce;75015;Non;FIN;2016-03;2016-07;2018-01;2018-03;2018-03;
1832;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1832&portlet_id=158;2015;Rénovation de l'aire de jeux des jardins du Trocadéro;Education et jeunesse;Direction des Espaces Verts et de l’Environnement;200000;Budget participatif d’arrondissement;Place du Trocadéro et du Onze Novembre;75016;Non;FIN;2015-12;2016-08;2016-10;2016-12;2017-01;
1835;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1835&portlet_id=158;2015;Réinstaller la lanterne du Trocadéro sur la colline de Chaillot;Culture et patrimoine;Direction des Espaces Verts et de l’Environnement;100000;Budget participatif d’arrondissement;Place du Trocadéro et du Onze Novembre;75116;Non;ABANDONNÉ;;;;;;
2070;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2070&portlet_id=158;2015;Aménagement de casiers de bagagerie dans les bains-douches Charenton;Solidarités;Direction de la Jeunesse et des Sports;200000;Budget participatif d’arrondissement;188 Rue de Charenton;75012;Oui;FIN;2016-09;2017-03;2017-12;2018-05;2018-05;
2402;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002371;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2402&portlet_id=158;2016;La ludothèque Dunois s'agrandit;Education et jeunesse;Direction des Familles et de la Petite Enfance;25000;Budget participatif d’arrondissement;8 Square Dunois;75013;Non;FIN;;;;;2017-10;
2413;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002841;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2413&portlet_id=158;2016;Apaiser la circulation autour du square Montholon;Cadre de vie;Direction de la Voirie et des Déplacements;30000;Budget participatif d’arrondissement;SQUARE MONTHOLON;75009;Non;ABANDONNÉ;;;;;;
2723;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002769;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2723&portlet_id=158;2016;L'arbre à livres;Culture et patrimoine;Direction de l’Attractivité et de l’Emploi;10000;Budget participatif d’arrondissement;12 Place Léon Blum;75011;Non;ETUDES;2017-01;;;;;
2600;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002456;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2600&portlet_id=158;2016;Une terrasse végétalisée pour la bibliothèque Robert Sabatier;Culture et patrimoine;Direction des Affaires Culturelles;100000;Budget participatif d’arrondissement;29 Rue Hermel;75018;Non;TRAVAUX;2018-01;2019-03;2020-07;2024-07;;
2778;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=000706;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2778&portlet_id=158;2016;Mise à double sens de la rue Oberkampf pour les vélos, entre Ménilmontant et Parmentier;Mobilités;Direction de la Voirie et des Déplacements;140000;Budget participatif d’arrondissement;Rue Oberkampf;75011;Oui;LIVRAISON;2018-02;;;2024-03;;
2547;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=001611;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2547&portlet_id=158;2016;De la Halle Pajol à la fresque Rosa Parks;Cadre de vie;Direction de la Voirie et des Déplacements;700000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;FIN;2017-08;2018-07;2020-09;2023-12;2023-10;
2789;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003534;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2789&portlet_id=158;2016;Réaménagement de la rue de Charonne;Cadre de vie;Direction de la Voirie et des Déplacements;500000;Budget participatif d’arrondissement;Rue de charonne;75011;Non;FIN;2017-05;2017-11;2018-05;2019-08;2019-08;
2847;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003641;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2847&portlet_id=158;2016;Remettre du vert dans la rue du Chemin Vert;Environnement;Direction des Espaces Verts et de l’Environnement;240000;Budget participatif d’arrondissement;Rue du Chemin Vert;75011;Non;FIN;2016-11;2018-05;2019-03;2019-06;2019-06;
2910;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002830;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2910&portlet_id=158;2016;"Des ""mallettes de jeux "" dans les écoles du XXème";Education et jeunesse;Direction des Affaires Scolaires;70000;Budget participatif d’arrondissement;6 Place Gambetta;75020;Non;FIN;2017-01;2017-08;2018-01;2019-06;2019-06;
8524;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000319;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8524&portlet_id=158;2019;Ouvrir la maison des associations rue Daguerre !;Solidarités;Direction de la Démocratie, des Citoyens et des Territoires;200000;Budget participatif d’arrondissement;74 rue Daguerre;75014;Non;FIN;2020-01;2020-11;2023-04;2023-06;2023-09;
8852;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001841;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8852&portlet_id=158;2019;Rénover les aires de jeux du parc des Buttes Chaumont;Cadre de vie;Direction des Espaces Verts et de l’Environnement;810000;Budget participatif d’arrondissement;Parc des Buttes Chaumont;75019;Non;TRAVAUX;2019-10;2021-02;2022-03;2024-12;;
