Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
1745;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1745&portlet_id=158;2015;Rénovation de la sous-dalle Beaugrenelle;Cadre de vie;Direction de la Voirie et des Déplacements;600000;Budget participatif d’arrondissement;13 Rue Robert de Flers;75015;Non;FIN;2016-02;2016-07;2018-07;2019-04;2019-04;
1794;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1794&portlet_id=158;2015;Agrandissement du conservatoire du 11ème;Culture et patrimoine;Direction des Affaires Culturelles;780000;Budget participatif d’arrondissement;7 Rue Duranti;75011;Non;FIN;2016-01;2016-04;2017-07;2017-10;2017-11;
1914;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1914&portlet_id=158;2015;Elargissement des trottoirs de la rue des Maraîchers;Cadre de vie;Direction de la Voirie et des Déplacements;500000;Budget participatif d’arrondissement;58 Rue des Maraîchers;75020;Non;FIN;2016-03;2016-07;2018-04;2018-06;2018-06;
1928;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1928&portlet_id=158;2015;Améliorer  la sécurité des piétons circulant dans le quartier boulevard Davout-rue Louis Lumière;Prévention et sécurité;Direction de la Voirie et des Déplacements;30000;Budget participatif d’arrondissement;6 Place Gambetta;75020;Oui;FIN;2016-03;2016-07;2016-09;2016-10;2016-10;
2712;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002689;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2712&portlet_id=158;2016;Réalisation d'une terrasse et d'un jardin végétalisé sur la terrasse de l'école élémentaire 101 Saussure;Education et jeunesse;Direction des Affaires Scolaires;300000;Budget participatif d’arrondissement;ECOLE ÉLÉMENTAIRE 101 RUE SAUSSURE;75017;Non;ABANDONNÉ;;;;;;
2865;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002583;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2865&portlet_id=158;2016;École Boulangers - Pour une école plus verte et plus agréable;Education et jeunesse;Direction des Affaires Scolaires;210000;Budget participatif d’arrondissement;Rue des Boulangers;75005;Non;FIN;2017-03;2017-05;2017-07;2017-09;2017-09;
2353;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003529;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2353&portlet_id=158;2016;Pour une rue du Grenier Saint-Lazare conviviale, apaisée et verte;Cadre de vie;Direction de la Voirie et des Déplacements;450000;Budget participatif d’arrondissement;Rue du Grenier Saint-Lazare;75003;Non;FIN;2017-01;2017-12;2018-09;2018-12;2018-12;
2579;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003562;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2579&portlet_id=158;2016;Rénovation de la piste cyclable sur le boulevard Malesherbes;Mobilités;Direction de la Voirie et des Déplacements;600000;Budget participatif d’arrondissement;Boulevard Malesherbes;75008;Non;FIN;2018-06;;2019-04;2019-09;2019-09;
3578;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001743;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3578&portlet_id=158;2017;Centre de rencontre des jardins pédagogiques du 20ème;Education et jeunesse;Direction des Affaires Scolaires;300000;Budget participatif d’arrondissement;10 Rue Le Vau;75020;Oui;FIN;2018-06;2018-11;2021-02;2024-01;2024-01;
3361;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002661;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3361&portlet_id=158;2017;Métamorphose au cœur du quartier Plaisance (Place Louise Losserand);Cadre de vie;Direction de la Voirie et des Déplacements;150000;Budget participatif d’arrondissement;141 rue Raymond Losserand;75014;Oui;FIN;2019-05;;2019-11;;2020-09;
